service_id,date,exception_type
169957414156537,20211212,2
169957414156537,20211213,2
169957414156537,20211214,2
169957414156537,20211215,2
169957414156537,20211216,2
169957414156537,20211217,2
169957414156537,20211218,2
169957414156537,20211219,2
169957414156537,20211220,2
169957414156537,20211221,2
169957414156537,20211222,2
169957414156537,20211223,2
169957414156537,20211224,2
169957414156537,20211225,2
169957414156537,20211226,2
169957414156537,20211227,2
169957414156537,20211228,2
169957414156537,20211229,2
169957414156537,20211230,2
169957414156537,20211231,2
169957414156537,20220101,2
169957414156537,20220102,2
169957414156537,20220103,2
169957414156537,20220104,2
169957414156537,20220105,2
169957414156537,20220106,2
169957414156537,20220107,2
169957414156537,20220108,2
169957414156537,20220109,2
169957414156537,20220110,2
169957414156537,20220111,2
169957414156537,20220112,2
169957414156537,20220113,2
169957414156537,20220114,2
169957414156537,20220115,2
169957414156537,20220116,2
169957414156537,20220117,2
169957414156537,20220118,2
169957414156537,20220119,2
169957414156537,20220120,2
169957414156537,20220121,2
169957414156537,20220122,2
169957414156537,20220123,2
169957414156537,20220124,2
169957414156537,20220125,2
169957414156537,20220126,2
169957414156537,20220127,2
169957414156537,20220128,2
169957414156537,20220129,2
169957414156537,20220130,2
169957414156537,20220131,2
169957414156537,20220201,2
169957414156537,20220202,2
169957414156537,20220203,2
169957414156537,20220204,2
169957414156537,20220205,2
169957414156537,20220206,2
169957414156537,20220207,2
169957414156537,20220208,2
169957414156537,20220209,2
169957414156537,20220210,2
169957414156537,20220211,2
169957414156537,20220212,2
169957414156537,20220213,2
169957414156537,20220214,2
169957414156537,20220215,2
169957414156537,20220216,2
169957414156537,20220217,2
169957414156537,20220218,2
169957414156537,20220219,2
169957414156537,20220220,2
169957414156537,20220221,2
169957414156537,20220222,2
169957414156537,20220223,2
169957414156537,20220224,2
169957414156537,20220225,2
169957414156537,20220226,2
169957414156537,20220227,2
169957414156537,20220228,2
169957414156537,20220301,2
169957414156537,20220302,2
169957414156537,20220303,2
169957414156537,20220304,2
169957414156537,20220305,2
169957414156537,20220306,2
169957414156537,20220307,2
169957414156537,20220308,2
169957414156537,20220309,2
169957414156537,20220310,2
169957414156537,20220311,2
169957414156537,20220312,2
169957414156537,20220313,2
169957414156537,20220314,2
169957414156537,20220315,2
169957414156537,20220316,2
169957414156537,20220317,2
169957414156537,20220318,2
169957414156537,20220319,2
169957414156537,20220320,2
169957414156537,20220321,2
169957414156537,20220322,2
169957414156537,20220323,2
169957414156537,20220324,2
169957414156537,20220325,2
169957414156537,20220326,2
169957414156537,20220327,2
169957414156537,20220328,2
169957414156537,20220329,2
169957414156537,20220330,2
169957414156537,20220331,2
169957414156537,20220401,2
169957414156537,20220402,2
169957414156537,20220403,2
169957414156537,20220404,2
169957414156537,20220405,2
169957414156537,20220406,2
169957414156537,20220407,2
169957414156537,20220408,2
169957414156537,20220409,2
169957414156537,20220410,2
169957414156537,20220411,2
169957414156537,20220412,2
169957414156537,20220413,2
169957414156537,20220414,2
169957414156537,20220415,2
169957414156537,20220416,2
169957414156537,20220417,2
169957414156537,20220418,2
169957414156537,20220419,2
169957414156537,20220420,2
169957414156537,20220421,2
169957414156537,20220422,2
169957414156537,20220423,2
169957414156537,20220424,2
169957414156537,20220425,2
169957414156537,20220426,2
169957414156537,20220427,2
169957414156537,20220428,2
169957414156537,20220429,2
169957414156537,20220430,2
169957414156537,20220501,2
169957414156537,20220502,2
169957414156537,20220503,2
169957414156537,20220504,2
169957414156537,20220505,2
169957414156537,20220506,2
169957414156537,20220507,2
169957414156537,20220508,2
169957414156537,20220509,2
169957414156537,20220510,2
169957414156537,20220511,2
169957414156537,20220512,2
169957414156537,20220513,2
169957414156537,20220514,2
169957414156537,20220515,2
169957414156537,20220516,2
169957414156537,20220517,2
169957414156537,20220518,2
169957414156537,20220519,2
169957414156537,20220520,2
169957414156537,20220521,2
169957414156537,20220522,2
169957414156537,20220523,2
169957414156537,20220524,2
169957414156537,20220525,2
169957414156537,20220526,2
169957414156537,20220527,2
169957414156537,20220528,2
169957414156537,20220529,2
169957414156537,20220530,2
169957414156537,20220531,2
169957414156537,20220601,2
169957414156537,20220602,2
169957414156537,20220603,2
169957414156537,20220604,2
169957414156537,20220605,2
169957414156537,20220606,2
169957414156537,20220607,2
169957414156537,20220608,2
169957414156537,20220609,2
169957414156537,20220610,2
169957414156537,20220611,2
169957414156537,20220612,2
169957414156537,20220613,2
169957414156537,20220614,2
169957414156537,20220615,2
169957414156537,20220616,2
169957414156537,20220617,2
169957414156537,20220618,2
169957414156537,20220619,2
169957414156537,20220620,2
169957414156537,20220621,2
169957414156537,20220622,2
169957414156537,20220623,2
169957414156537,20220624,2
